user,location,time,event
vineet,India,09:00,Login
vineet,USA,09:10,Login
admin,India,10:00,Password Reset
developer,India,11:00,MFA Request
developer,India,11:01,MFA Request
developer,India,11:02,MFA Request
admin,India,12:00,Role Change
developer,India,12:05,Role Change
intern,India,12:10,Privilege Escalation
attacker,India,13:00,Failed Login
attacker,India,13:01,Failed Login
attacker,India,13:02,Failed Login
attacker,India,13:03,Failed Login
attacker,India,13:04,Failed Login
user1,India,14:00,Failed Login
user2,India,14:01,Failed Login
user3,India,14:02,Failed Login
user4,India,14:03,Failed Login
user5,India,14:04,Failed Login
vineet,India,15:00,Token Used
vineet,USA,15:02,Token Used
